"","ZIPCODE","MONTH","YEAR","CUSTOMERCLASS","COMBINED","TOTALCUSTOMERS","TOTALKWH","AVERAGEKWH"
"225",93452,3,2020,"Elec- Commercial","Y",0,0,NA
"226",93453,1,2020,"Elec- Commercial","Y",479,6920092,14447
"227",93453,2,2020,"Elec- Commercial","Y",479,6543699,13661
"228",93453,3,2020,"Elec- Commercial","Y",477,6487365,13600
"229",93454,1,2020,"Elec- Commercial","N",1431,10836622,7573
"230",93454,2,2020,"Elec- Commercial","N",1432,10149100,7087
"231",93454,3,2020,"Elec- Commercial","N",1433,9768594,6817
"232",93455,1,2020,"Elec- Commercial","Y",1185,6982067,5892
"233",93455,2,2020,"Elec- Commercial","Y",1178,6681781,5672
"234",93455,3,2020,"Elec- Commercial","Y",1180,6533206,5537
"235",93458,1,2020,"Elec- Commercial","Y",854,3933225,4606
"236",93458,2,2020,"Elec- Commercial","Y",851,3782117,4444
"237",93458,3,2020,"Elec- Commercial","Y",847,3673714,4337
"238",93460,1,2020,"Elec- Commercial","Y",0,0,NA
"239",93460,2,2020,"Elec- Commercial","Y",0,0,NA
"240",93460,3,2020,"Elec- Commercial","Y",0,0,NA
"241",93461,1,2020,"Elec- Commercial","Y",0,0,NA
"242",93461,2,2020,"Elec- Commercial","Y",0,0,NA
"243",93461,3,2020,"Elec- Commercial","Y",0,0,NA
"244",93463,1,2020,"Elec- Commercial","Y",1119,4365123,3901
"245",93463,2,2020,"Elec- Commercial","Y",1120,4073222,3637
"246",93463,3,2020,"Elec- Commercial","Y",1122,3719747,3315
"247",93465,1,2020,"Elec- Commercial","Y",0,0,NA
"248",93465,2,2020,"Elec- Commercial","Y",0,0,NA
"249",93465,3,2020,"Elec- Commercial","Y",0,0,NA
"250",93560,1,2020,"Elec- Commercial","Y",0,0,NA
"251",93560,2,2020,"Elec- Commercial","Y",0,0,NA
"252",93560,3,2020,"Elec- Commercial","Y",0,0,NA
"253",93561,1,2020,"Elec- Commercial","Y",0,0,NA
"254",93561,2,2020,"Elec- Commercial","Y",0,0,NA
"255",93561,3,2020,"Elec- Commercial","Y",0,0,NA
"256",93601,1,2020,"Elec- Commercial","Y",0,0,NA
"257",93601,2,2020,"Elec- Commercial","Y",0,0,NA
"258",93601,3,2020,"Elec- Commercial","Y",0,0,NA
